Cnumber,Taxonkey,Species,SubUnit,Longitude,Latitude,EEZID,EEZ_Name,Entity_ID,SubEntity_ID,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015
36,290004,Bivalvia,New South Wales,152.5700489,-32.00990914,36,Australia,4,382,0,1.707639706,1.734028069,2.211604528,2.539642972,2.374274593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,290004,Bivalvia,Northern Territory,131.989494,-12.28431056,36,Australia,74,411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,290004,Bivalvia,Queensland,152.495707,-24.93095,36,Australia,65,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,290004,Bivalvia,South Australia,137.2226554,-34.90255394,36,Australia,109,547,0,0,0,0,0,0,2.291002551,0,2.12846496,2.221001124,2.004268865,1.840291453,1.902556684,2.046771332,1.978579223,0,0,0,0,0,0,0,0,0,0,0
36,290004,Bivalvia,Tasmania,147.0338085,-40.98834139,36,Australia,44,581,0,0,0,2.211604527,2.539642973,2.374274593,2.291002551,1.963186297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,290004,Bivalvia,Victoria,143.990196,-38.55110216,36,Australia,80,626,1.614531417,1.707639706,1.734028069,2.211604527,2.539642973,2.374274594,0,0,0,0,2.004268865,1.840291453,1.902556684,2.046771332,1.978579223,0,0,0,0,0,0,0,0,0,0,0
36,290004,Bivalvia,Western Australia,114.3980652,-28.32977824,36,Australia,103,644,1.614531417,1.707639705,1.734028069,2.211604527,2.539642973,2.374274594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,590096,Penaeus,New South Wales,152.5700489,-32.00990914,36,Australia,4,382,7.889211498,8.077941148,8.293208003,9.227733322,11.62078525,12.56065576,9.927693081,10.76687009,10.82739807,14.09718278,13.85328125,13.29686555,13.19056231,12.35478115,11.36583291,11.15962674,10.03875885,9.650696686,9.864882041,10.04232311,4.582545503,7.744738568,8.81367565,10.77479151,10.65376922,10.15542667
36,590096,Penaeus,Northern Territory,131.989494,-12.28431056,36,Australia,74,411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,590096,Penaeus,Queensland,152.495707,-24.93095,36,Australia,65,479,7.889211498,8.077941149,8.293208003,9.227733325,11.62078525,12.56065576,9.927693081,10.76687009,10.82739807,14.09718278,13.85328125,13.29686555,13.1905623,12.35478115,11.3658329,11.15962673,10.03875885,9.650696687,9.864882041,10.04232311,9.652752701,9.627304292,9.830237405,11.08827316,11.51474301,10.99887475
36,590096,Penaeus,South Australia,137.2226554,-34.90255394,36,Australia,109,547,0,0,0,0,0,0,0,0,0,0,0,0,13.1905623,0,0,0,0,0,0,0,0,0,0,0,0,0
