Year,EEZID,countrycode,GDP_SSP1,GDP_SSP3,GDP_SSP5,Population_SSP1,Population_SSP3,Population_SSP5,SeafoodConsumption_SSP1,SeafoodConsumption_SSP3,SeafoodConsumption_SSP5
2016,84,BLZ,6851.4,6803.4,6841.6,91538.7351,107657.9466,91392.89317,14.92236617,14.89408377,14.91660363
2017,84,BLZ,6958.8,6863.8,6954.2,90287.27113,109381.695,89995.58727,14.98512795,14.92964893,14.98245438
2018,84,BLZ,7066.2,6924.2,7066.8,89035.80715,111105.4434,88598.28136,15.04718638,14.96498631,15.04753114
2019,84,BLZ,7173.6,6984.6,7179.4,87784.34318,112829.1918,87200.97545,15.10855988,15.00009932,15.11185513
2020,84,BLZ,7281,7045,7292,86532.8792,114552.9403,85803.66954,15.16926608,15.03499131,15.17544666
2021,84,BLZ,7522.6,7144.4,7567.4,85064.83681,116185.2419,84139.0143,15.30347445,15.09194038,15.32801367
2022,84,BLZ,7764.2,7243.8,7842.8,83596.79441,117817.5435,82474.35906,15.43457149,15.14831382,15.47657876
2023,84,BLZ,8005.8,7343.2,8118.2,82128.75202,119449.8451,80809.70383,15.56272286,15.20412522,15.62138206
2024,84,BLZ,8247.4,7442.6,8393.6,80660.70963,121082.1467,79145.04859,15.68808075,15.2593877,15.76264174
2025,84,BLZ,8489,7542,8669,79192.66723,122714.4483,77480.39335,15.81078526,15.31411387,15.90055665
2026,84,BLZ,8845.4,7650.8,9121,77692.66555,124244.687,75756.85176,15.98722169,15.37341496,16.12013149
2027,84,BLZ,9201.8,7759.6,9573,76192.66386,125774.9256,74033.31018,16.15854116,15.43210345,16.33189899
2028,84,BLZ,9558.2,7868.4,10025,74692.66218,127305.1643,72309.7686,16.32508191,15.49019413,16.53648655
2029,84,BLZ,9914.6,7977.2,10477,73192.66049,128835.403,70586.22701,16.48714822,15.54770124,16.73444551
2030,84,BLZ,10271,8086,10929,71692.65881,130365.6416,68862.68543,16.64501488,15.60463848,16.92626325
2031,84,BLZ,10729,8198.8,11541.6,70244.94748,131664.3974,67281.46689,16.84211675,15.66308142,17.17719947
2032,84,BLZ,11187,8311.6,12154.2,68797.23615,132963.1532,65700.24836,17.0331674,15.72094018,17.41859062
2033,84,BLZ,11645,8424.4,12766.8,67349.52482,134261.909,64119.02982,17.21858935,15.77822841,17.65125465
2034,84,BLZ,12103,8537.2,13379.4,65901.81349,135560.6648,62537.81128,17.39876036,15.83495925,17.87590409
2035,84,BLZ,12561,8650,13992,64454.10217,136859.4206,60956.59275,17.5740197,15.8911454,18.09316379
